,,统计表
深圳市深业中城有限公司,深业中城（B302-0040）,深房许字（2019）福田005号,福田,2019-10-21,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=42096
深圳市深信西部房地产有限公司,满京华云朗公馆,深房许字（2019）宝安015号,宝安,2019-10-11,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41997
中粮地产发展（深圳）有限公司,天悦壹号玺苑,深房许字（2019）宝安014号,宝安,2019-10-09,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41954
深圳市深旅物业管理有限公司,金众麒麟公馆,深房许字（2019）南山013号,南山,2019-10-09,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41953
深圳市金碧房地产开发有限公司,凤凰公馆,深房许字（2019）坪山011号,龙岗,2019-09-29,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41915
深圳市鸿腾投资管理有限公司,恒大成一期花园,深房许字（2019）坪山010号,龙岗,2019-09-29,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41913
深圳市创世和实业有限公司,合景同创广场,深房许字（2019）盐田004号,盐田,2019-09-28,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41903
深圳市西城房地产开发有限公司,万科星宸大厦,深房许字（2019）宝安013号,宝安,2019-09-29,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41855
深圳市大族云峰投资有限公司,大族云峰花园,深房许字（2019）龙岗021号,龙岗,2019-09-26,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41853
深圳市盐田佳兆业房地产开发有限公司,二期御景佳园,深房许字（2019）盐田003号,盐田,2019-09-25,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41838
深圳市深国际联合置地有限公司,深国际万科和雅轩,深房许字（2019）龙华010号,宝安,2019-09-27,http://zjj.sz.gov.cn/ris/bol/szfdc/projectdetail.aspx?id=41834
