项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,64832.99元/平方米(按建筑面积计)楼层,40,房号,4002,用途,住宅,,建筑面积99.84平方米,户内面积,75.14平方米,分摊面积,24.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,63832.99元/平方米(按建筑面积计)楼层,40,房号,4003,用途,住宅,,建筑面积99.84平方米,户内面积,75.14平方米,分摊面积,24.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,68134.48元/平方米(按建筑面积计)楼层,40,房号,4004,用途,住宅,,建筑面积80.55平方米,户内面积,60.62平方米,分摊面积,19.93平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,67134.48元/平方米(按建筑面积计)楼层,40,房号,4005,用途,住宅,,建筑面积80.55平方米,户内面积,60.62平方米,分摊面积,19.93平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,66633.18元/平方米(按建筑面积计)楼层,40,房号,4006,用途,住宅,,建筑面积99.05平方米,户内面积,74.54平方米,分摊面积,24.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,65824.9元/平方米(按建筑面积计)楼层,39,房号,3901,用途,住宅,,建筑面积117.98平方米,户内面积,88.79平方米,分摊面积,29.19平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,深(宝)网预买字(2019)31312号,拟售价格,--元/平方米(按建筑面积计)楼层,39,房号,3902,用途,住宅,,建筑面积99.84平方米,户内面积,75.14平方米,分摊面积,24.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,63822.99元/平方米(按建筑面积计)楼层,39,房号,3903,用途,住宅,,建筑面积99.84平方米,户内面积,75.14平方米,分摊面积,24.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,68124.48元/平方米(按建筑面积计)楼层,39,房号,3904,用途,住宅,,建筑面积80.55平方米,户内面积,60.62平方米,分摊面积,19.93平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,深(宝)网预买字(2019)31343号,拟售价格,--元/平方米(按建筑面积计)楼层,39,房号,3905,用途,住宅,,建筑面积80.55平方米,户内面积,60.62平方米,分摊面积,19.93平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,66623.17元/平方米(按建筑面积计)楼层,39,房号,3906,用途,住宅,,建筑面积99.05平方米,户内面积,74.54平方米,分摊面积,24.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,65814.9元/平方米(按建筑面积计)楼层,38,房号,3801,用途,住宅,,建筑面积117.98平方米,户内面积,88.79平方米,分摊面积,29.19平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,深国际万科和雅轩1栋,座号,A,合同号,--,拟售价格,64812.99元/平方米(按建筑面积计)楼层,38,房号,3802,用途,住宅,,建筑面积99.84平方米,户内面积,75.14平方米,分摊面积,24.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
