项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,65691元/平方米(按建筑面积计)楼层,25,房号,25B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,69991元/平方米(按建筑面积计)楼层,25,房号,25C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,68541元/平方米(按建筑面积计)楼层,25,房号,25D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,92191元/平方米(按建筑面积计)楼层,24,房号,24A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,84591元/平方米(按建筑面积计)楼层,24,房号,24B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,88891元/平方米(按建筑面积计)楼层,24,房号,24C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,87441元/平方米(按建筑面积计)楼层,24,房号,24D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,92091元/平方米(按建筑面积计)楼层,23,房号,23A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,84491元/平方米(按建筑面积计)楼层,23,房号,23B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,88791元/平方米(按建筑面积计)楼层,23,房号,23C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,87341元/平方米(按建筑面积计)楼层,23,房号,23D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,91991元/平方米(按建筑面积计)楼层,22,房号,22A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,深(南)网预买字(2019)12243号,拟售价格,--元/平方米(按建筑面积计)楼层,22,房号,22B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,深(南)网预买字(2019)12409号,拟售价格,--元/平方米(按建筑面积计)楼层,22,房号,22C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,87241元/平方米(按建筑面积计)楼层,22,房号,22D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,91891元/平方米(按建筑面积计)楼层,21,房号,21A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,84291元/平方米(按建筑面积计)楼层,21,房号,21B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,88591元/平方米(按建筑面积计)楼层,21,房号,21C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,87141元/平方米(按建筑面积计)楼层,21,房号,21D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,91791元/平方米(按建筑面积计)楼层,20,房号,20A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,84191元/平方米(按建筑面积计)楼层,20,房号,20B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,88491元/平方米(按建筑面积计)楼层,20,房号,20C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,87041元/平方米(按建筑面积计)楼层,20,房号,20D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,91691元/平方米(按建筑面积计)楼层,19,房号,19A,用途,住宅,,建筑面积158.2平方米,户内面积,135.04平方米,分摊面积,23.16平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,深(南)网预买字(2019)12291号,拟售价格,--元/平方米(按建筑面积计)楼层,19,房号,19B,用途,住宅,,建筑面积160.6平方米,户内面积,137.09平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,深(南)网预买字(2019)12156号,拟售价格,--元/平方米(按建筑面积计)楼层,19,房号,19C,用途,住宅,,建筑面积157.7平方米,户内面积,134.61平方米,分摊面积,23.09平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,宝能城花园（西区）1栋,座号,B座,合同号,--,拟售价格,86941元/平方米(按建筑面积计)楼层,19,房号,19D,用途,住宅,,建筑面积160.64平方米,户内面积,137.13平方米,分摊面积,23.51平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
